Date,Price
2020-01-01,1002.4835707650561
2020-01-02,1001.7922492592003
2020-01-03,1005.0306919497037
2020-01-04,1012.6458412317438
2020-01-05,1011.4750743581271
2020-01-06,1010.3043895733813
2020-01-07,1018.2004536509182
2020-01-08,1022.0376272966828
2020-01-09,1019.690255367008
2020-01-10,1022.4030555849378
2020-01-11,1020.0859671208755
2020-01-12,1017.7573183530242
2020-01-13,1018.9671297108544
2020-01-14,1009.4007284875654
2020-01-15,1000.7761393250003
2020-01-16,997.9647016787953
2020-01-17,992.9005460771233
2020-01-18,994.4717827400996
2020-01-19,989.9316623624935
2020-01-20,982.8701438558171
2020-01-21,990.1983877004249
2020-01-22,989.0695061979922
2020-01-23,989.4071472214318
2020-01-24,982.2834062903645
2020-01-25,979.5614926677387
2020-01-26,980.116105616288
2020-01-27,974.3611377291764
2020-01-28,976.2396278209048
2020-01-29,973.2364343713108
2020-01-30,971.7779656223444
2020-01-31,968.7694325611974
2020-02-01,978.0308234837421
2020-02-02,977.9633373600524
2020-02-03,972.674782715273
2020-02-04,976.7875072757888
2020-02-05,970.6832890259337
2020-02-06,971.7276070009575
2020-02-07,961.9292563815586
2020-02-08,955.2883261370665
2020-02-09,956.2726323164121
2020-02-10,959.9649652163891
2020-02-11,960.821806622339
2020-02-12,960.2435652103978
2020-02-13,958.7380467324514
2020-02-14,951.3454367806142
2020-02-15,947.7462157386407
2020-02-16,945.4430218838418
2020-02-17,950.7286330149363
2020-02-18,952.4467244627787
2020-02-19,943.631523685965
2020-02-20,945.251943532939
2020-02-21,943.3265321308573
2020-02-22,939.9419221293276
2020-02-23,943.0003035735319
2020-02-24,948.1553011860117
2020-02-25,952.8117017815927
2020-02-26,948.6156141654794
2020-02-27,947.0695522862234
2020-02-28,948.7258694432412
2020-02-29,953.603595078853
2020-03-01,951.2077238896265
2020-03-02,950.2794290063075
2020-03-03,944.7477541362773
2020-03-04,938.7667210158739
2020-03-05,942.8293501278449
2020-03-06,949.610550270699
2020-03-07,949.2504996627974
2020-03-08,954.2681641522576
2020-03-09,956.0763442774957
2020-03-10,952.8507455044701
2020-03-11,954.6577235320121
2020-03-12,962.347906364342
2020-03-13,962.1687761687922
2020-03-14,969.9919944478622
2020-03-15,956.8932689274136
2020-03-16,961.0027814492896
2020-03-17,961.4380167904806
2020-03-18,959.9429800381512
2020-03-19,960.4017839208287
2020-03-20,950.4639393478242
2020-03-21,949.3655799086366
2020-03-22,951.1511427661954
2020-03-23,958.540612989903
2020-03-24,955.9492618985347
2020-03-25,951.9067938840687
2020-03-26,949.3980086661461
2020-03-27,953.9750192546564
2020-03-28,955.6187748029549
2020-03-29,952.9699737841197
2020-03-30,955.5363109496865
2020-03-31,956.0216986964267
2020-04-01,960.8649236490911
2020-04-02,957.3546581797044
